姓名,字,日文,简体,拼音,假名,女,異民族,"S01
身體","S01
知力","S01
武力","S01
魅力","S01
運勢","S02
知力","S02
武力","S02
魅力","S03
陸指","S03
水指","S03
武力","S03
知力","S03
政治","S03
魅力","S04
統率","S04
武力","S04
知力","S04
政治","S04
魅力","S05
武力","S05
知力","S05
政治","S05
魅力","S06
統率","S06
武力","S06
知力","S06
政治","S06
魅力","S07
武力","S07
知力","S07
政治","S07
魅力","S08
武力","S08
知力","S08
政治","S08
魅力","S09
統率","S09
武力","S09
知力","S09
政治","S10
統率","S10
武力","S10
知力","S10
政治","S10
魅力","S11
統率","S11
武力","S11
知力","S11
政治","S11
魅力","S12
統率","S12
武力","S12
知力","S12
政治",備註
夏侯和,義權,夏侯和,夏侯和,Xiàhóu Hé,カコウカ,,,,,,,,82,70,73,77,73,80,80,63,70,84,67,85,74,73,60,84,77,78,77,61,80,75,73,47,76,68,58,58,73,72,65,54,51,72,75,50,54,72,75,66,48,51,70,76,64,48,51,71,76,
夏侯咸,,夏侯咸,夏侯咸,Xiàhóu Xián,カコウカン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,62,47,42,,,,,,,,,,,,,,,
夏侯惠,稚權,夏侯恵,夏侯惠,Xiàhóu Huì,カコウケイ,,,,,,,,84,53,80,81,73,82,81,61,76,80,71,80,78,73,61,85,73,79,76,66,78,76,73,43,67,75,56,56,73,75,66,57,49,74,72,53,51,75,73,69,50,44,75,73,66,50,44,76,73,
夏侯玄,太初,夏侯玄,夏侯玄,Xiàhóu Xuán,カコウゲン,,,,,,,,,,,31,14,43,79,92,72,31,33,75,94,76,26,73,91,73,57,23,75,95,80,56,84,90,65,48,70,81,65,59,44,80,94,53,39,77,94,64,54,39,75,92,66,54,39,76,92,
夏侯氏,,夏侯氏,夏侯氏,Xiàhóu Shì,カコウシ,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,5,62,68,74,34,13,42,68,SAN11 家機版限定武將。
夏侯尚,伯仁,夏侯尚,夏侯尚,Xiàhóu Shàng,カコウショウ,,,84,46,76,54,37,62,69,68,68,25,70,60,54,67,69,65,67,54,64,69,66,52,61,67,62,71,45,60,78,80,62,58,67,69,61,63,75,71,77,62,78,68,79,66,59,79,72,74,65,61,79,72,75,65,
夏侯存,,夏侯存,夏侯存,Xiàhóu Cún,カコウソン,,,,,,,,,,,59,26,64,51,47,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
夏侯德,,夏侯徳,夏侯德,Xiàhóu Dé,カコウトク,,,73,49,54,67,57,55,68,61,67,22,69,59,58,64,55,64,57,52,66,62,54,45,70,67,64,39,50,57,57,45,48,51,69,45,47,52,64,73,37,44,59,64,32,41,51,69,73,32,40,52,69,73,32,40,
夏侯惇,元讓,夏侯惇,夏侯惇,Xiàhóu Dūn,カコウトン,,,89,64,82,79,67,59,93,71,90,76,95,60,54,75,94,96,62,56,78,94,70,81,87,88,92,71,84,82,91,72,74,83,92,63,68,84,90,92,64,76,87,89,61,76,87,89,90,58,70,81,92,90,63,70,
夏侯霸,仲權,夏侯覇,夏侯霸,Xiàhóu Bà,カコウハ,,,,,,,,55,89,73,82,74,87,59,55,71,83,89,68,72,73,90,67,72,77,78,88,69,79,74,83,74,56,61,80,73,51,61,79,85,77,46,80,85,77,54,61,79,84,77,55,71,79,84,77,55,
夏侯楙,子林,夏侯楙,夏侯楙,Xiàhóu Máo,カコウボウ,,,84,35,58,59,56,32,39,24,37,13,54,35,40,27,26,47,32,40,25,47,42,18,28,38,33,37,34,39,28,34,42,38,30,32,35,43,22,13,6,33,15,7,5,20,3,20,7,4,21,2,20,7,4,21,
夏侯蘭,,夏侯蘭,夏侯兰,Xiàhóu Lán,カコウラン,,,,,,,,,,,70,70,72,53,42,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
夏侯令女,,夏侯令女,夏侯令女,Xiàhóu Língnǚ,カコウレイジョ,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,10,73,71,84,46,53,74,71,
何氏,,何氏,何氏,Hé Shì,カシ,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,34,67,73,
蛾遮塞,,蛾遮塞,蛾遮塞,É Zhēsāi,ガシャサイ,,羌,,,,,,,,,,,,,,,,,,,,,,,,36,73,33,25,51,,,,,,,,,,,,,,,,,,,,,,,,,,,
賈充,公閭,賈充,贾充,Jiǎ Chōng,カジュウ,,,,,,,,,,,,,,,,,53,29,90,81,61,24,90,90,51,50,25,87,89,43,36,91,90,57,22,86,82,20,38,37,87,81,33,32,88,88,8,54,31,89,85,10,54,31,89,85,
何植,,何植,何植,Hé Zhí,カショク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,48,36,26,17,24,28,27,18,38,29,33,15,15,24,26,27,51,,,,,
何進,遂高,何進,何进,Hé Jìn,カシン,,,,,,,,,,,,,,,,,,,,,,77,43,67,91,49,69,37,70,92,,,,,50,29,33,68,25,30,5,54,40,39,7,39,71,39,40,6,41,68,39,40,6,41,
賀齊,公苗,賀斉,贺齐,Hè Qí,ガセイ,,,,,,,,,,,,,,,,,,,,,,,,,,74,73,64,47,61,81,63,48,64,69,66,60,62,77,71,68,70,83,73,72,59,66,83,78,72,64,73,83,70,82,64,
何曾,潁考,何曾,何曾,Hé Zēng,カソウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,27,70,78,,,,,,,,,,,,,,,
華佗,元化,華佗,华佗,Huá Tuó,カダ,,,,,,,,,,,,,,,,,,,,,,17,96,73,79,,,,,,34,68,74,60,20,50,53,60,5,5,66,72,,,,,,8,7,68,72,70,18,12,83,72,
雅丹,,雅丹,雅丹,Yǎ Dān,ガタン,,羌,,,,,,,,,,,,,,,59,78,36,43,20,79,60,54,18,40,74,61,54,27,58,70,52,31,65,57,52,48,,,,,,,,,,,,,,,72,65,78,53,
何楨,元幹,何楨,何桢,Hé Zhēn,カテイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,64,74,72,,,,,,,,,,,,,,,
賈範,,賈範,贾范,Jiǎ Fàn,カハン,,,,,,,,,,,61,27,67,65,44,78,60,68,64,45,79,48,74,55,77,58,48,73,61,77,46,71,56,51,63,71,60,63,64,59,71,63,59,60,73,64,61,60,62,73,62,62,60,62,73,62,
軻比能,,軻比能,轲比能,Kē Bǐnéng,カヒノウ,,鮮卑,,,,,,,,,,,,,,,61,80,19,15,23,84,38,22,35,58,83,32,25,35,81,56,38,74,75,51,38,67,,,,,77,69,52,59,68,,,,,,77,69,52,59,
花鬘,,花鬘,花鬘,Huā Mán,カマン,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,82,32,26,70,69,82,32,26,
華雄,,華雄,华雄,Huá Xióng,カユウ,,,78,29,90,69,20,31,91,33,89,72,90,29,23,40,86,89,27,29,44,90,29,26,41,68,88,24,21,32,84,41,38,52,93,45,41,60,78,93,54,40,81,93,52,39,57,81,92,56,40,57,88,92,61,40,
關彝,,関彝,关彝,Guān Yí,カンイ,,,,,,,,,,,,,,,,,51,63,60,36,60,62,51,33,61,48,60,58,38,67,58,56,48,55,58,45,54,56,44,64,46,51,43,65,49,48,63,50,62,44,52,59,,,,,
韓胤,,韓胤,韩胤,Hán Yìn,カンイン,,,,,,,,,,,29,12,41,54,62,23,,,,,,,,,,,,,,,,,,,,,,,27,30,64,54,27,24,68,59,60,26,29,64,54,44,26,29,65,54,
關羽,雲長,関羽,关羽,Guān Yǔ,カンウ,,,96,83,99,80,39,83,99,91,100,78,98,82,64,96,100,98,82,65,96,99,83,64,96,96,98,80,72,96,95,81,72,93,97,80,69,93,93,97,77,64,96,97,76,64,93,95,97,75,62,93,97,97,79,62,
桓階,伯緒,桓階,桓阶,Huán Jiē,カンカイ,,,,,,,,41,40,52,36,25,39,51,51,69,,,,,,,,,,,,,,,,,,,,,,,,,,,12,25,67,79,68,10,26,67,78,69,25,26,68,78,二代誤植為「韓楷」
管亥,,管亥,管亥,Guǎn Hài,カンガイ,,,,,,,,,,,,,,,,,,,,,,93,41,23,47,66,90,35,23,39,71,43,31,48,76,40,26,38,69,80,17,10,71,80,14,6,25,70,82,10,5,25,70,82,10,5,
毌丘儉,仲恭,毌丘倹,毌丘俭,Guànqiū Jiǎn,カンキュウケン,,,,,,,,51,90,55,74,23,75,50,47,48,75,79,50,47,52,76,79,47,62,72,68,77,61,67,82,63,53,48,78,58,53,60,81,76,47,64,79,74,51,58,53,78,74,52,56,54,78,74,55,56,八代誤植為「毋丘儉」。
毌丘秀,,毌丘秀,毌丘秀,Guànqiū Xiù,カンキュウシュウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,61,32,43,58,63,35,38,51,58,62,33,38,51,,,,,
毌丘甸,子邦,毌丘甸,毌丘甸,Guànqiū Diàn,カンキュウデン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,51,72,75,63,58,68,70,58,63,60,69,70,65,,,,,
韓莒子,,韓莒子,韩莒子,Hán Jǔzǐ,カンキョシ,,,,,,,,,,,50,21,54,51,43,46,,,,,,,,,,,,,,,,,,,,,,,,,,,53,59,30,41,54,51,59,51,46,52,,,,,
關銀屏,,関銀屏,关银屏,Guān Yínpíng,カンギンペイ,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,82,52,56,78,73,78,42,24,SAN11 家機版限定武將。
韓玄,,韓玄,韩玄,Hán Xuán,カンゲン,,,81,72,31,86,74,21,34,12,46,17,57,35,28,10,34,52,34,30,19,67,31,20,19,43,61,20,21,24,58,31,24,16,50,19,19,13,10,29,8,4,20,33,6,3,1,22,33,7,4,1,22,33,7,4,
關興,安國,関興,关兴,Guān Xīng,カンコウ,,,82,53,77,49,73,69,90,70,85,70,88,70,61,72,85,86,70,50,72,88,71,49,75,69,84,72,44,73,80,53,48,65,83,57,55,72,76,86,60,50,76,86,63,52,72,76,86,62,58,75,76,86,67,58,
韓浩,元嗣,韓浩,韩浩,Hán Hào,カンコウ,,,,,,,,25,31,15,59,21,62,45,33,47,,,,,,76,42,74,70,60,73,45,80,68,67,76,81,63,59,68,87,59,62,71,67,88,72,71,71,87,66,69,72,68,87,62,69,72,68,87,
關索,,関索,关索,Guān Suǒ,カンサク,,,87,57,91,74,83,68,91,69,80,70,85,68,59,70,78,85,68,57,70,86,62,47,76,69,85,67,29,74,76,50,45,52,81,50,49,70,71,81,57,48,72,82,55,49,70,74,88,52,47,74,74,88,56,47,
甘氏,,甘氏,甘氏,Gān Shì,カンシ,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,3,48,60,
關純,,関純,关纯,Guān Chún,カンジュン,,,,,,,,,,,32,27,42,61,69,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,正史名「閔純」。
韓遂,文約,韓遂,韩遂,Hán Suì,カンスイ,,,71,57,69,31,33,82,46,78,72,70,70,62,64,78,71,69,63,66,75,63,78,63,74,66,76,77,63,78,79,81,64,82,68,76,66,81,84,70,73,68,85,72,75,65,80,89,70,77,61,80,81,75,82,61,
韓嵩,德高,韓嵩,韩嵩,Hán Sōng,カンスウ,,,,,,,,80,40,46,30,11,38,71,82,57,28,37,70,86,55,28,70,85,51,21,25,70,82,33,21,74,64,53,21,72,74,61,31,16,72,74,28,18,72,74,58,25,15,70,77,61,25,15,71,77,
關靖,士起,関靖,关靖,Guān Jìng,カンセイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,73,68,47,39,61,72,65,35,50,73,68,51,36,52,72,63,42,36,52,73,63,
韓暹,,韓暹,韩暹,Hán Xiān,カンセン,,,74,19,47,62,73,41,43,40,45,16,56,38,27,45,52,56,40,29,47,63,30,19,39,39,62,35,21,28,68,42,36,52,68,39,37,52,71,69,33,37,69,67,35,36,48,69,66,36,18,51,69,66,36,18,
闞澤,德潤,闞沢,阚泽,Kàn Zé,カンタク,,,53,65,35,52,39,79,42,63,52,60,45,78,85,72,65,44,78,83,72,48,78,84,73,62,44,79,81,72,42,82,84,68,56,84,86,74,34,50,86,86,34,48,83,88,73,43,49,83,86,73,43,49,83,86,
韓忠,,韓忠,韩忠,Hán Zhōng,カンチュウ,,,,,,,,,,,,,,,,,,,,,,69,40,14,31,41,66,29,17,22,,,,,66,29,17,22,67,68,24,16,66,67,20,14,12,64,67,18,12,23,64,67,18,12,
關統,,関統,关统,Guān Tǒng,カントウ,,,,,,,,,,,,,,,,,,,,,,,,,,49,63,60,37,67,68,56,42,51,61,51,52,74,68,55,62,63,64,58,60,62,72,63,60,61,63,75,,,,,
韓當,義公,韓当,韩当,Hán Dāng,カントウ,,,82,47,54,59,49,47,58,51,59,34,60,42,63,56,71,69,65,48,60,71,64,43,67,68,67,64,50,67,81,61,47,57,84,56,54,70,78,86,54,56,76,86,59,53,67,76,85,56,51,68,76,85,61,51,
韓德,,韓徳,韩德,Hán Dé,カントク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,37,36,49,65,79,30,18,62,79,24,15,50,63,76,25,16,54,63,76,25,16,
甘寧,興霸,甘寧,甘宁,Gān Níng,カンネイ,,,87,52,94,69,85,51,92,52,84,72,91,54,42,58,86,92,60,44,65,96,60,34,71,78,95,71,36,70,92,68,54,56,92,74,44,58,87,94,78,13,88,93,75,20,55,86,94,76,18,58,93,94,76,18,
關寧,,関寧,关宁,Guān Níng,カンネイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,62,73,75,70,,,,,SAN11 家機版限定武將。
桓範,元則,桓範,桓范,Huán Fàn,カンハン,,,,,,,,,,,,,,,,,39,19,81,60,66,18,82,61,61,20,25,81,65,61,34,80,67,28,34,80,70,48,26,12,78,71,22,16,80,72,55,20,11,78,74,51,40,11,78,74,
韓福,,韓福,韩福,Hán Fú,カンフク,,,,,,,,,,,59,21,67,56,40,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
韓馥,文節,韓馥,韩馥,Hán Fù,カンフク,,,,,,,,53,51,50,50,22,57,52,64,54,58,66,54,41,33,69,44,39,66,66,59,42,63,65,43,37,36,41,18,32,57,61,20,5,27,63,18,10,29,63,59,13,3,27,62,60,28,3,27,62,
關平,,関平,关平,Guān Píng,カンペイ,,,93,53,77,79,59,70,82,75,78,70,80,74,60,75,79,81,72,55,74,82,70,52,80,77,80,70,55,71,74,72,51,74,82,69,52,75,77,82,69,56,77,81,69,55,75,77,82,68,60,76,80,82,72,60,
韓猛,,韓猛,韩猛,Hán Měng,カンモウ,,,,,,,,,,,61,24,65,43,41,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
簡雍,憲和,簡雍,简雍,Jiǎn Yōng,カンヨウ,,,76,75,22,29,35,72,46,76,36,11,42,68,73,79,39,39,70,76,77,36,70,76,67,31,33,70,78,55,36,68,61,63,31,63,67,52,22,31,65,72,22,33,66,71,74,20,32,74,71,74,20,32,75,71,
顏良,,顔良,颜良,Yán Liáng,ガンリョウ,,,89,21,89,64,27,27,90,51,84,71,87,32,20,55,86,93,34,23,55,95,35,21,53,73,93,36,23,56,90,21,32,43,95,32,35,50,83,95,45,33,83,94,41,34,52,79,93,42,32,53,88,94,21,23,
管輅,公明,管輅,管辂,Guǎn Lù,カンロ,,,,,,,,,,,,,,,,,,,,,,14,95,70,73,,,,,,26,87,64,76,20,74,64,70,5,14,72,62,,,,,,13,9,72,62,46,,,,,
魏延,文長,魏延,魏延,Wèi Yán,ギエン,,,89,41,94,69,73,48,94,58,80,75,92,45,28,41,80,94,45,35,41,94,48,37,56,78,94,62,38,57,88,46,39,36,90,58,42,44,83,92,66,35,85,92,69,43,34,81,92,69,49,45,85,92,72,49,
麴義,,麹義,麴义,Qū Yì,キクギ,,,,,,,,,,,65,24,73,39,31,53,,,,,,,,,,,,,,,81,37,35,43,70,60,35,40,77,72,62,25,83,79,50,20,29,82,78,51,18,37,82,78,51,18,
戲志才,,戯志才,戏志才,Xì Zhìcái,ギシサイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,86,61,57,19,87,71,57,30,7,88,76,24,5,86,73,55,23,7,88,73,58,63,7,88,73,
魏續,,魏続,魏续,Wèi Xù,ギショク,,,65,33,74,41,54,48,75,49,68,20,72,46,32,40,61,74,44,39,40,71,43,38,40,57,59,41,41,30,58,26,43,32,73,26,43,39,70,75,29,35,70,79,27,33,31,67,78,31,32,39,67,78,31,32,
魏邈,,魏邈,魏邈,Wèi Miǎo,ギバク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,58,52,66,62,62,57,55,58,62,60,56,65,57,62,59,54,65,,,,,
魏諷,子京,魏諷,魏讽,Wèi Fěng,ギフウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,23,72,78,86,,,,,
魏攸,,魏攸,魏攸,Wèi Yōu,ギユウ,,,,,,,,,,,,,,,,,,,,,,,,,,53,69,71,53,54,31,70,58,56,32,71,74,66,48,30,73,75,33,28,77,73,66,46,29,73,74,68,46,29,74,74,
牛金,,牛金,牛金,Niú Jīn,ギュウキン,,,87,15,89,47,55,33,86,54,73,70,82,35,21,57,70,82,36,25,59,81,39,24,58,63,77,37,33,46,58,36,34,42,78,32,33,42,73,80,42,46,71,79,40,38,42,72,79,38,40,45,72,79,38,40,
丘建,,丘建,丘建,Qiū Jiàn,キュウケン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,64,64,72,46,51,66,49,43,56,69,60,65,39,52,65,52,51,,,,,
牛輔,,牛輔,牛辅,Niú Fǔ,ギュウホ,,,,,,,,,,,52,20,57,58,52,43,,,,,,,,,,,,,,,51,43,32,36,62,30,28,34,32,60,20,25,43,63,12,18,27,38,60,21,26,37,38,60,21,26,
丘本,,丘本,丘本,Qiū Běn,キュウホン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,35,72,59,52,41,70,54,53,50,41,67,56,55,,,,,
丘力居,,丘力居,丘力居,Qiū Lìjū,キュウリキキョ,,烏丸,,,,,,,,,,,,,,,,,,,,,,,,51,72,49,32,60,71,42,41,53,69,46,43,51,,,,,80,68,56,55,60,,,,,,80,68,56,55,
季雍,,季雍,季雍,Jì Yōng,キヨウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,52,41,40,58,,,,,
姜維,伯約,姜維,姜维,Jiāng Wéi,キョウイ,,,89,97,80,73,80,94,91,88,88,75,91,92,72,85,89,91,95,86,85,93,96,81,87,95,90,94,79,80,86,89,62,80,89,92,76,82,85,89,92,66,91,89,90,68,77,90,89,90,67,80,92,89,90,67,
龔景,,龔景,龚景,Gōng Jǐng,キョウケイ,,,,,,,,,,,,,,,,,,,,,,34,72,66,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
橋玄,公祖,橋玄,桥玄,Qiáo Xuán,キョウゲン,,,,,,,,,,,,,,,,,,,,,,30,52,70,77,50,18,60,74,77,,,,,,,,,,,,,,,,,,12,6,66,74,82,,,,,五代日文版與六代中文版作「喬玄」。
鞏志,,鞏志,巩志,Gǒng Zhì,キョウシ,,,71,65,32,52,93,46,42,52,40,19,44,63,58,50,43,46,65,59,50,46,64,58,49,57,54,64,62,41,36,58,46,52,46,58,59,48,44,54,63,68,45,59,61,63,52,43,53,61,65,48,43,53,62,65,
姜敘,伯奕,姜叙,姜叙,Jiāng Xù,キョウジョ,,,,,,,,,,,72,71,79,54,41,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
橋蕤,,橋蕤,桥蕤,Qiáo Ruí,キョウズイ,,,,,,,,,,,62,24,67,60,51,48,,,,,,,,,,,,,,,74,27,19,31,70,33,36,38,68,72,45,48,67,69,39,41,34,64,69,38,41,58,64,69,38,41,
強端,,強端,强端,Qiáng Duān,キョウタン,,氐,,,,,,,,,,,,,,,,,,,,,,,,41,73,43,21,31,,,,,,,,,,,,,58,83,9,11,29,,,,,,65,83,48,30,
龔都,,龔都,龚都,Gōng Dū,キョウト,,,,,,,,,,,,,,,,,,,,,,72,28,40,49,26,73,19,40,36,53,18,23,35,61,18,23,37,64,72,38,30,55,72,25,23,32,59,70,23,22,37,59,70,23,22,
橋瑁,元偉,橋瑁,桥瑁,Qiáo Mào,キョウボウ,,,,,,,,,,,59,26,62,58,42,32,50,61,58,38,35,63,58,40,39,59,58,61,43,60,58,62,59,68,58,47,60,72,62,53,72,73,56,52,68,66,69,54,45,69,72,73,,,,,三代五代日文版作「喬瑁」。
許儀,,許儀,许仪,Xū Yí,キョギ,,,,,,,,,,,,,,,,,40,65,52,28,50,70,41,28,47,31,74,47,42,44,61,51,48,53,68,35,34,52,59,76,17,20,51,74,15,16,47,51,74,15,16,49,51,74,15,16,
許貢,,許貢,许贡,Xū Gòng,キョコウ,,,,,,,,,,,61,33,65,58,52,49,,,,,,,,,,65,63,59,56,74,70,43,40,61,55,43,41,57,45,68,66,64,47,65,61,52,65,44,66,64,64,56,44,66,64,64,
許汜,,許汜,许汜,Xū Sì,キョシ,,,,,,,,38,22,34,20,9,23,78,45,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
許劭,子將,許劭,许劭,Xū Shào,キョショウ,,,,,,,,,,,,,,,,,,,,,,19,94,77,79,,,,,,34,79,67,63,30,70,67,60,20,12,70,76,,,,,,16,11,74,90,82,,,,,五代作「許子将」。
許昌,,許昌,许昌,Xū Chāng,キョショウ,,,,,,,,,,,62,31,74,60,48,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
許靖,文休,許靖,许靖,Xū Jìng,キョセイ,,,74,79,26,51,88,78,23,53,16,5,21,75,76,52,35,21,76,77,56,21,74,78,69,18,29,74,79,59,31,73,78,73,30,74,82,68,13,13,72,82,4,4,67,78,69,3,5,67,79,68,23,5,68,79,
許褚,仲康,許褚,许褚,Xū Zhǔ,キョチョ,,,98,19,98,19,21,20,98,66,94,76,97,25,19,69,83,97,26,16,68,98,18,21,68,57,98,27,21,67,94,26,23,41,96,37,35,53,66,96,39,23,67,96,36,21,58,65,96,36,20,59,74,96,36,20,
去卑,,去卑,去卑,Qù Bēi,キョヒ,,匈奴,,,,,,,,,,,,,,,,,,,,,,,,51,71,40,49,59,,,,,,,,,,,,,,,,,,,,,,,,,,,
許攸,子遠,許攸,许攸,Xū Yōu,キョユウ,,,71,88,42,31,72,79,42,46,40,21,45,61,76,42,50,46,62,77,42,42,66,78,47,47,47,57,76,38,22,81,52,24,20,82,54,24,18,6,82,37,36,24,84,60,13,36,21,80,56,23,36,21,80,56,
媯覽,,媯覽,妫览,Guī Lǎn,キラン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,70,58,41,
紀靈,,紀霊,纪灵,Jì Lìng,キレイ,,,82,24,57,59,46,31,62,55,70,70,70,35,30,50,72,80,34,29,49,83,33,31,46,76,81,33,41,35,70,52,53,61,81,52,50,61,74,81,54,50,78,81,58,50,59,78,83,51,48,55,78,83,51,48,
金禕,德褘,金禕,金祎,Jīn Yī,キンイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,40,63,65,67,17,38,64,68,60,32,38,65,68,
金環三結,,金環三結,金环三结,Jīnhuán Sānjié,キンカンサンケツ,,南蠻,,,,,,13,57,14,64,20,60,12,14,15,54,80,15,18,18,78,16,19,20,46,76,17,23,18,61,38,39,46,70,33,39,46,69,74,29,22,64,76,19,17,44,64,76,19,19,42,64,76,19,19,
金旋,元機,金旋,金旋,Jīn Xuán,キンセン,,,71,55,37,44,48,29,43,37,40,13,52,27,25,30,34,50,26,30,32,51,46,30,30,55,49,36,42,45,45,32,42,51,47,32,41,49,44,65,22,38,53,69,16,29,42,52,68,13,29,47,52,68,13,29,
虞汜,世洪,虞汜,虞汜,Yú Sì,グシ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,38,80,72,70,33,79,71,72,61,34,74,71,72,61,34,74,71,
虞翻,仲翔,虞翻,虞翻,Yú Fān,グホン,,,74,81,35,39,53,80,38,71,32,15,40,78,80,76,30,44,77,81,74,40,78,81,74,23,42,73,81,74,68,76,81,48,56,82,81,48,37,48,85,81,34,43,86,81,39,43,46,86,81,46,43,46,86,81,
奚泥,,奚泥,奚泥,Xī Ní,ケイデイ,,南蠻,,,,,,,,,,,,,,,61,79,26,10,16,80,11,25,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,78,35,22,
邢道榮,,邢道栄,邢道荣,Xíng Dàoróng,ケイドウエイ,,,74,16,80,41,26,29,80,62,70,21,78,30,26,54,56,79,30,26,53,79,31,23,49,49,78,23,30,35,70,26,26,38,73,22,23,27,62,77,35,15,59,80,44,12,6,61,80,41,16,12,69,80,41,16,
郤正,令先,郤正,郄正,Xì Zhèng,ゲキセイ,,,,,,,,,,,,,,,,,45,23,74,66,71,22,77,58,71,38,25,75,63,68,26,68,81,66,16,63,76,60,6,4,63,74,7,6,63,73,61,10,4,63,75,61,42,23,68,75,
嚴顏,,厳顔,严颜,Yán Yán,ゲンガン,,,85,70,88,32,76,70,87,72,87,73,86,71,68,76,87,86,72,69,78,88,70,63,79,72,84,67,64,77,78,61,48,58,82,69,66,77,77,82,69,67,79,82,69,65,74,79,83,69,67,79,82,83,72,67,
牽弘,,牽弘,牵弘,Qiān Hóng,ケンコウ,,,,,,,,,,,,,,,,,71,67,52,53,68,66,50,52,65,,,,,,,,,,68,66,64,54,74,70,67,64,76,72,66,64,58,70,74,66,65,57,,,,,
嚴綱,,厳綱,严纲,Yán Gāng,ゲンコウ,,,,,,,,,,,60,26,66,45,32,38,55,68,49,36,39,68,45,34,36,57,65,44,41,33,65,41,43,50,65,41,47,52,72,70,42,54,74,63,41,50,51,68,71,40,51,52,68,71,40,51,
嚴畯,曼才,厳畯,严畯,Yán Jùn,ゲンシュン,,,81,61,34,27,51,78,26,63,24,20,25,71,73,60,,,,,,14,72,69,75,44,24,71,73,69,11,78,84,83,12,71,83,70,19,4,72,84,16,1,70,84,76,13,2,70,84,72,28,2,71,84,
牽招,子經,牽招,牵招,Qiān Zhāo,ケンショウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,69,73,75,73,72,79,73,75,
嚴政,,厳政,严政,Yán Zhèng,ゲンセイ,,,,,,,,,,,,,,,,,,,,,,73,49,11,16,31,68,49,15,15,,,,,68,36,33,15,52,59,38,41,50,58,38,31,4,50,55,39,36,12,50,55,39,36,
蹇碩,,蹇碩,蹇硕,Jiǎn Shuò,ケンセキ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,7,78,62,18,,,,,
獻帝,,献帝,献帝,Xiàn Dì,ケンテイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,52,62,80,21,18,50,52,,,,,,12,9,26,34,78,61,31,63,61,
嚴白虎,,厳白虎,严白虎,Yán Báihǔ,ゲンハクコ,,,,,,,,,,,69,28,74,52,47,59,71,76,51,47,56,78,44,44,49,,,,,,68,34,43,39,68,30,38,38,66,69,28,24,67,69,24,20,33,67,70,23,21,41,67,70,23,21,
